Objective	Sequence	Objective Type	Step SubSequence	Step Type	Step Automation	Method	Method From	Data Object Input	Input Format	Input Data Type	Method With	Method To	Data Object Output	Output Format	Output Data Type	Notes	interview	projectid
Laser set-up for change crystallographic phase (anisotropy)	7	Sample Modification	5	Transfer	Manual	Store	Collaborator sample storage	C_SingleCrystal_3	Physical material	Data	Hand-transfer	Lab sample storage	C_SingleCrystal_3	Physical material	Data		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Laser set-up for change crystallographic phase (anisotropy)	7	Sample Modification	6	Store	Manual	OneNote	Email_C	C_PhaseChange_parameters_2	TXT	Metadata	Hand-input	OneNote_C	C_PhaseChange_parameters_2	TXT	Metadata		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Laser set-up for change crystallographic phase (anisotropy)	7	Sample Modification	7	Store	Manual	Labarchive	OneNote_C	C_PhaseChange_parameters_2	TXT	Metadata	Hand-input	Labarchive:Group	C_PhaseChange_parameters_2	TXT	Metadata		C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Laser set-up for change crystallographic phase (anisotropy)	7	Sample Modification	8	Store	Manual	Store	Collaborator sample storage	C_SingleCrystal_3	Physical material	Data	Hand-transfer	Lab sample storage	C_SingleCrystal_3	Physical material	Data	***this process is a cycle (once SingleCrystal_3 is made, it undergoes the previous Optical Property Measurement)	C	DIFFUSIONLESS PHASE CHANGE MATERIAL
Synthesis of TMD films with tube furnace	1	Sample Synthesis	1	Synthesize	Automated partially	Tube furnace	Unknown Physical	D_RawMaterial_1	Physical material	Data	Tube furnace	Lab sample storage	D_TMD_1	Physical material	Data		D	TRANSITIONMETAL
Synthesis of TMD films with tube furnace	1	Sample Synthesis	2	Document	Manual	Tube furnace	Unknown Physical	D_RawMaterial_1	Physical material	Data	Tube furnace	Labarchive_D	D_Furnace_experiment_info	TXT	Metadata		D	TRANSITIONMETAL
Synthesis of TMD films with tube furnace	1	Sample Synthesis	3	Measure	Automated digitally	Labview	Tube furnace	D_RawMaterial_1	Physical material	Data	Labview	Desktop Machine Control	D_Furance_environment_info	TXT	Metadata		D	TRANSITIONMETAL
Synthesis of TMD films with tube furnace	1	Sample Synthesis	4	Transfer	Automated digitally	Desktop Machine Control	Labview	D_Furance_environment_info	TXT	Metadata	Automatic synchronization	Dropbox:Group	D_Furance_environment_info	TXT	Metadata		D	TRANSITIONMETAL
Synthesis of TMD films with tube furnace	1	Sample Synthesis	4	Store	Automated digitally	Dropbox	Desktop Machine Control	D_Furance_environment_info	TXT	Metadata	Automatic synchronization	Dropbox:Group	D_Furance_environment_info	TXT	Metadata		D	TRANSITIONMETAL
Synthesis of TMD films with tube furnace	1	Sample Synthesis	5	Store	Manual	Store	Tube furnace	D_TMD_1	Physical material	Data	Hand-transfer	Lab sample storage	D_TMD_1	Physical material	Data		D	TRANSITIONMETAL
XRS to measure composition	2	Composition Measurement	1	Measure	Manual	XRS:MIT CMSE	Lab sample storage	D_TMD_1	Physical material	Data	XRS:MIT CMSE	USB_D	D_XRS_info	CSV	Both	Machine location: MRL/CMSE X-ray room at MIT	D	TRANSITIONMETAL
XRS to measure composition	2	Composition Measurement	2	Transfer	Manual	USB	XRS:MIT CMSE	D_XRS_info	CSV	Both	Hand-input	Dropbox:Group	D_XRS_info	CSV	Both		D	TRANSITIONMETAL
XRS to measure composition	2	Composition Measurement	3	Store	Manual	Dropbox	USB_D	D_XRS_info	CSV	Both	Hand-input	Dropbox:Group	D_XRS_info	CSV	Both		D	TRANSITIONMETAL
XRS to measure composition	2	Composition Measurement	4	Analyze	Manual	Unspecified analysis technique	Dropbox:Group	D_XRS_info	CSV	Both	Hand-input	Dropbox_D	D_XRS_analyzed	TXT	Data		D	TRANSITIONMETAL
XRS to measure composition	2	Composition Measurement	5	Store	Manual	Store	XRS:MIT CMSE	D_TMD_1	Physical material	Data	Hand-transfer	Lab sample storage	D_TMD_1	Physical material	Data		D	TRANSITIONMETAL
Raman spectroscopy to measure composition	3	Composition Measurement	1	Measure	Manual	Raman:MIT MRL	Lab sample storage	D_TMD_1	Physical material	Data	Raman:MIT MRL	USB_D	D_RAMAN_info	TXT	Both	Machine location: MRL at MIT	D	TRANSITIONMETAL
Raman spectroscopy to measure composition	3	Composition Measurement	2	Transfer	Manual	USB	Raman:MIT MRL	D_RAMAN_info	TXT	Both	Hand-input	Dropbox:Group	D_RAMAN_info	TXT	Both		D	TRANSITIONMETAL
Raman spectroscopy to measure composition	3	Composition Measurement	3	Store	Manual	Dropbox	USB_D	D_RAMAN_info	TXT	Both	Hand-input	Dropbox:Group	D_RAMAN_info	TXT	Both		D	TRANSITIONMETAL
Raman spectroscopy to measure composition	3	Composition Measurement	4	Analyze	Manual	Unspecified analysis technique	Dropbox:Group	D_RAMAN_info	TXT	Both	Hand-input	Dropbox_D	D_RAMAN_Analyzed	TXT	Data		D	TRANSITIONMETAL
Raman spectroscopy to measure composition	3	Composition Measurement	5	Store	Manual	Store	Raman:MIT MRL	D_TMD_1	Physical material	Data	Hand-transfer	Lab sample storage	D_TMD_1	Physical material	Data		D	TRANSITIONMETAL
XPS to measure composition	4	Composition Measurement	1	Measure	Manual	XPS:Harvard CNS	Lab sample storage	D_TMD_1	Physical material	Data	XPS:Harvard CNS	USB_D	D_XPS_info	Wems	Both	Machine location: Harvard CNS (Center of Nanoscale Science)	D	TRANSITIONMETAL
XPS to measure composition	4	Composition Measurement	2	Transfer	Manual	USB	XPS:Harvard CNS	D_XPS_info	Wems	Both	Hand-input	Dropbox:Group	D_XPS_info	Wems	Both		D	TRANSITIONMETAL
XPS to measure composition	4	Composition Measurement	3	Store	Manual	Dropbox	USB_D	D_XPS_info	Wems	Both	Hand-input	Dropbox:Group	D_XPS_info	Wems	Both		D	TRANSITIONMETAL
